,Rank,Name+Seed,Conference,W-L,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2
35,36,Butler 8,Horz,28-10,+16.46,112.3,43,95.9,46,63.5,262,+.033,94,+6.11,57,106.4,61,100.3,54,+6.67,26
5,6,Wisconsin 4,B10,25-9,+25.84,122.3,2,96.5,52,56.9,344,-.003,191,+10.81,11,110.0,9,99.2,20,-3.58,253
11,12,BYU 3,MWC,32-5,+23.22,117.5,11,94.3,29,70.2,17,+.055,46,+7.04,43,106.8,49,99.8,34,+3.59,62
16,17,Florida 2,SEC,29-8,+20.61,115.8,20,95.2,38,62.5,300,+.038,84,+7.73,33,106.8,47,99.1,19,+1.55,110
35,36,Butler 8,Horz,28-10,+16.46,112.3,43,95.9,46,63.5,262,+.033,94,+6.11,57,106.4,61,100.3,54,+6.67,26
16,17,Florida 2,SEC,29-8,+20.61,115.8,20,95.2,38,62.5,300,+.038,84,+7.73,33,106.8,47,99.1,19,+1.55,110
35,36,Butler 8,Horz,28-10,+16.46,112.3,43,95.9,46,63.5,262,+.033,94,+6.11,57,106.4,61,100.3,54,+6.67,26
2,3,Kansas 1,B12,35-3,+28.38,118.9,6,90.6,6,68.4,42,+.060,38,+7.75,32,108.2,28,100.5,61,-0.29,164
169,170,Boston University 16,AE,21-14,-0.50,103.4,169,103.9,186,62.6,291,+.045,65,-4.62,268,100.5,282,105.1,234,+0.49,147
28,29,UNLV 8,MWC,24-9,+17.75,110.6,57,92.9,21,66.4,110,+.003,170,+5.99,58,106.2,66,100.2,52,+1.85,98
17,18,Illinois 9,B10,20-14,+20.14,113.3,34,93.1,23,64.8,202,-.074,322,+12.29,6,110.6,5,98.3,8,+3.15,68
32,33,Vanderbilt 5,SEC,23-11,+17.33,116.6,16,99.2,87,66.1,125,-.050,296,+6.66,50,106.5,60,99.8,35,+2.52,84
38,39,Richmond 12,A10,29-8,+16.01,112.6,41,96.5,54,62.1,309,+.052,52,+3.11,91,104.8,104,101.7,89,+1.00,124
13,14,Louisville 4,BE,25-10,+22.26,111.4,52,89.2,3,66.8,88,-.037,269,+8.77,27,108.3,26,99.5,27,-5.13,289
88,89,Morehead St. 13,OVC,25-10,+7.01,105.6,119,98.6,80,63.4,267,+.023,125,-2.89,226,102.2,210,105.1,238,+2.66,80
30,31,Georgetown 6,BE,21-11,+17.65,114.2,27,96.6,55,63.4,265,+.048,60,+12.51,4,110.2,6,97.7,3,+5.80,39
52,53,VCU 11,CAA,28-12,+13.49,112.0,47,98.5,78,65.6,156,+.021,128,+4.79,70,105.8,74,101.0,75,+2.26,89
8,9,Purdue 3,B10,26-8,+24.79,115.9,18,91.1,8,66.0,136,+.007,161,+10.16,14,108.8,18,98.7,12,+1.21,120
136,137,Saint Peter's 14,MAAC,20-14,+2.73,95.2,294,92.5,18,64.1,240,+.073,26,+0.88,134,103.2,166,102.3,105,+4.62,49
48,49,Texas A&M 7,B12,24-9,+14.62,110.0,65,95.4,42,60.9,328,+.050,57,+5.43,67,105.9,72,100.5,62,-7.50,323
34,35,Florida St. 10,ACC,23-11,+16.76,104.5,147,87.7,1,66.7,95,-.017,225,+7.01,44,107.1,41,100.1,46,-1.82,204
10,11,Notre Dame 2,BE,27-7,+23.25,120.9,3,97.7,66,63.1,277,+.074,24,+9.92,17,108.2,27,98.3,6,-3.83,257
117,118,Akron 15,MAC,23-13,+4.09,103.7,163,99.6,94,65.9,144,+.043,74,-1.70,187,102.5,201,104.2,188,-0.43,169
2,3,Kansas 1,B12,35-3,+28.38,118.9,6,90.6,6,68.4,42,+.060,38,+7.75,32,108.2,28,100.5,61,-0.29,164
17,18,Illinois 9,B10,20-14,+20.14,113.3,34,93.1,23,64.8,202,-.074,322,+12.29,6,110.6,5,98.3,8,+3.15,68
38,39,Richmond 12,A10,29-8,+16.01,112.6,41,96.5,54,62.1,309,+.052,52,+3.11,91,104.8,104,101.7,89,+1.00,124
88,89,Morehead St. 13,OVC,25-10,+7.01,105.6,119,98.6,80,63.4,267,+.023,125,-2.89,226,102.2,210,105.1,238,+2.66,80
